Shipping times,Shipping costs,Transportation modes,Routes,Order quantities,Production volumes,Manufacturing costs,Supplier name,damage_risk
6,1.4604237010282213,2,1,86,562,36.89657199015853,3,1
5,1.3926702077442699,2,1,85,564,33.774447234098446,3,1
6,1.2724918613660756,2,1,84,562,33.71595813936639,3,1
5,1.2720862059496323,2,1,84,563,30.397968256047797,3,1
3,1.4497439072128047,2,1,87,562,31.84215468105943,3,1
4,1.6859496213504344,2,1,87,565,29.10817403738473,3,1
3,1.4816033030106304,2,1,85,561,36.378870629920925,3,1
6,1.419762694267028,2,1,84,565,32.43066151937113,3,1
3,1.0381661719267605,2,1,84,563,32.36734618639836,3,1
4,1.4475600172717837,2,1,86,565,34.10936075984767,3,1
2,1.2715664134541569,2,1,87,563,34.924325707496536,3,1
2,1.3863409612130841,2,1,87,565,30.939566099256787,3,1
4,1.3371986533820623,2,1,83,561,32.41672070243363,3,1
4,1.4948581546316086,2,1,83,562,32.632066029971426,3,1
3,1.4936252348499508,2,1,84,562,33.00753677910637,3,1
5,1.4589451557015836,2,1,84,561,30.322490667226827,3,1
4,1.169215567047321,2,1,85,564,29.501174138318387,3,1
4,1.1724392205378737,2,1,83,563,32.96170596166424,3,1
3,1.3982479596812443,2,1,85,562,33.130401027714115,3,1
3,1.0274693248254818,2,1,84,563,30.250172304305462,3,1
5,1.392818083937668,2,1,84,562,28.07894473962749,3,1
5,1.4792377305024451,2,1,86,561,30.314061142307892,3,1
3,1.2716052340051036,2,1,84,561,28.216441328116804,3,1
4,1.111062001640867,2,1,86,564,30.686623256681482,3,1
3,1.3015862358369523,2,1,84,563,28.65090954773161,3,1
5,1.2135107754159091,2,1,83,561,31.093785431697018,3,1
10,10.985334889674682,2,1,50,172,98.56718773132067,4,1
9,9.732237123378123,2,1,50,172,89.77011691864104,4,1
11,8.25965163090627,2,1,50,171,89.19591024914301,4,1
8,9.55002172917304,2,1,49,173,94.47996746902174,4,1
10,9.024408708934834,2,1,47,175,96.06771741863766,4,1
9,9.495989634123333,2,1,48,173,91.93207989595236,4,1
7,11.052442541521554,2,1,46,171,102.14435489014677,4,1
8,8.67565076002827,2,1,48,172,93.9632474696118,4,1
11,11.31980365776717,2,1,47,175,95.73560502763921,4,1
8,8.68429519957428,2,1,48,172,96.41633012555027,4,1
10,8.886222120717232,2,1,48,173,96.9647928776254,4,1
8,8.624887780107786,2,1,49,172,109.51237156114726,4,1
10,9.607496201086095,2,1,46,172,98.19971407907983,4,1
8,8.76792714193446,2,1,48,171,110.09771090429173,4,1
9,8.105168665572771,2,1,47,171,95.34046938051117,4,1
10,9.393218425489266,2,1,50,172,98.88517463017553,4,1
9,10.906880342563372,2,1,50,175,112.919291718472,4,1
11,7.813158682758464,2,1,49,175,97.32547801925837,4,1
8,9.675117878564379,2,1,50,174,93.14613636425989,4,1
9,10.678107405359555,2,1,47,171,89.55020781503075,4,1
7,11.24563754980572,2,1,50,175,100.42234889692341,4,1
8,8.615687572147433,2,1,48,174,95.51785610459702,4,1
9,9.937886079607212,2,1,47,172,98.42243237725518,4,1
7,10.530057867620934,2,1,48,171,105.14101371160523,4,1
10,11.425466488329043,2,1,50,175,107.80469296871158,4,1
9,10.110519284592534,2,1,47,172,84.49204561623621,4,1
9,11.287187580345392,2,1,49,175,95.64132833568047,4,1
7,11.393038248150777,2,1,48,171,118.54439267471211,4,1
7,7.900412967817305,2,1,49,174,104.14620248866358,4,1
8,9.00963110257643,2,1,49,172,81.8341222432194,4,1
7,9.615470778053348,2,1,46,172,95.86202101853644,4,1
8,9.220999520558042,2,1,49,172,108.57435982608891,4,1
11,12.125425233689842,2,1,50,172,107.17578105631934,4,1
9,8.94271633199827,2,1,46,174,102.26405834168126,4,1
7,8.32714959749735,2,1,46,172,96.29526074985476,4,1
8,9.250512495887914,2,1,46,175,97.57745973604413,4,1
8,9.97819878199783,2,1,49,173,100.07265533030454,4,1
10,11.471432894614049,2,1,49,171,97.75605480607585,4,1
10,8.061818387239214,2,1,50,175,91.58825390692763,4,1
9,9.74202277421818,2,1,47,175,92.49798909143857,4,1
5,2.176633335507348,0,1,79,557,4.99421746048611,0,0
6,2.085749230205424,0,1,76,559,5.609749177533215,0,0
6,2.1825333952675066,0,1,77,559,6.268866164696322,0,0
3,1.934110413947761,0,1,78,558,5.498472733832518,0,0
7,2.1080754596433944,0,1,78,556,5.1225435275445,0,0
7,1.905924834134329,0,1,79,557,6.435612608062138,0,0
6,1.9901280205937302,0,1,77,556,5.283405958956942,0,0
4,2.0211941438188417,0,1,77,560,5.8731741134958675,0,0
7,1.9789363700797848,0,1,79,560,5.702365739321067,0,0
5,1.5037154348048385,0,1,80,559,5.835208298850114,0,0
4,2.0873460885355644,0,1,78,560,5.261020512606717,0,0
4,1.7127582578730904,0,1,78,558,6.250383061527932,0,0
5,2.2073613551599784,0,1,80,559,5.931434214671035,0,0
4,1.9382625196833365,0,1,78,556,5.299364387125196,0,0
6,1.799151561932299,0,1,76,558,6.342402287028118,0,0
6,2.2728567911768045,0,1,78,559,5.996075861257669,0,0
6,1.7707476844569687,0,1,80,558,5.418964966705056,0,0
7,2.2759309832945576,0,1,76,558,6.0834417028923315,0,0
4,1.8669289542058134,0,1,78,556,6.056399170698177,0,0
3,2.1727491379089328,0,1,80,556,5.726388876381087,0,0
3,2.3542239423704716,0,1,77,557,5.887511860664476,0,0
4,1.8781264600740177,0,1,77,558,5.12424583243578,0,0
5,2.208324593907768,0,1,76,556,5.789995311580652,0,0
3,2.042626396296822,0,1,76,560,5.398656547860766,0,0
5,2.1005927860135998,0,1,76,558,5.8980093568208565,0,0
5,2.4052141605181867,0,1,76,557,5.573756507715858,0,0
6,2.5481931189147145,0,1,79,559,5.314227096647484,0,0
7,2.0276127865388975,0,1,76,559,5.364100609071082,0,0
7,1.9064251099436162,0,1,80,560,6.265803446834306,0,0
3,2.177355768223057,0,1,77,557,5.829096120624362,0,0
4,2.0562793014480176,0,1,78,559,5.924947870204633,0,0
7,2.127870099753377,0,1,79,558,5.560583007400656,0,0
5,2.2813595974369143,0,1,79,557,5.590105646241878,0,0
5,1.8634801910755971,0,1,78,558,6.647556341359841,0,0
5,1.5933086551041142,0,1,80,559,5.28497949549843,0,0
7,2.0901360015665555,0,1,76,560,6.1244440545502234,0,0
3,1.9005911825298845,0,1,77,559,5.799437417134162,0,0
5,1.5490329183563887,0,1,78,558,5.54222734617157,0,0
3,2.3389508787247455,0,1,78,557,5.482660564436035,0,0
5,2.6079298222085554,3,1,69,582,105.51386511210457,0,1
7,2.6921171075477863,3,1,69,582,97.25398441944428,0,1
9,2.358912448351042,3,1,70,578,112.41450397985699,0,1
7,2.0046454525752657,3,1,68,580,96.13597980825651,0,1
7,2.6441191382233353,3,1,71,581,94.29934867270288,0,1
9,2.3284425081456357,3,1,71,581,109.73263998665416,0,1
9,2.349967226698298,3,1,68,578,89.25597860404466,0,1
8,2.3325372207402237,3,1,67,581,109.8064922962843,0,1
8,2.4262382238401425,3,1,71,582,92.52105180081033,0,1
6,2.381769927097879,3,1,69,582,103.76401983995963,0,1
9,1.8167322599957527,3,1,67,579,112.31949173500968,0,1
5,2.805598040828558,3,1,67,578,110.76062240326472,0,1
7,2.711266471196318,3,1,67,578,99.37557677611588,0,1
9,2.199318484440024,3,1,69,579,110.35562777831389,0,1
6,3.1633402883844406,3,1,67,582,98.99995846139664,0,1
6,2.7433748336106913,3,1,71,582,109.96165465496722,0,1
5,2.273578979601646,3,1,68,581,84.45140219963658,0,1
7,2.2687446025661524,3,1,69,579,90.39347904441928,0,1
6,2.251289847723458,3,1,67,578,87.28887730918433,0,1
9,2.407303863092558,3,1,70,582,108.03409006949573,0,1
9,2.290894454554129,3,1,68,580,103.16896641439679,0,1
6,2.0723999173365506,3,1,68,578,91.14463640921282,0,1
8,2.1738039422371953,3,1,69,578,95.07759468828424,0,1
7,2.2203592459741683,3,1,67,582,95.06059497197656,0,1
8,2.424892726232618,3,1,67,581,105.76931914251912,0,1
6,2.4535480718720457,3,1,71,581,87.98134082581741,0,1
8,2.630783250726538,3,1,67,582,107.84001905183119,0,1
6,2.136071513326426,3,1,71,578,90.71326828744009,0,1
6,2.299444220966358,3,1,68,579,100.23494827147302,0,1
9,2.5694853956089814,3,1,71,581,96.36533432862748,0,1
8,2.5361731284008746,3,1,68,582,87.59367964057182,0,1
5,2.136672468504868,3,1,71,578,105.43632110722375,0,1
8,2.32760702744877,3,1,70,578,108.29458721099358,0,1
7,2.3355419070343406,3,1,68,578,107.47010995375912,0,1
7,2.575548514905168,3,1,71,579,96.41936815308051,0,1
7,2.146962806503018,3,1,67,582,107.64469506606538,0,1
6,2.4711295437153775,3,1,67,579,86.54342015867186,0,1
5,2.5142386331967743,3,1,70,582,112.29173772722994,0,1
9,2.433377187827052,3,1,68,580,97.98750167286563,0,1
0,4.168513763870683,0,0,78,398,66.25338225274594,0,1
2,3.954350784893393,0,0,77,398,80.99469321759352,0,1
2,4.182171839766685,0,0,79,400,64.74593428530757,0,1
0,4.108827124487319,0,0,79,398,71.97264013096046,0,1
2,4.947003320499404,0,0,80,397,79.46017728473485,0,1
0,4.086322784585648,0,0,76,398,62.55562105917533,0,1
1,4.481355128471808,0,0,78,399,79.10364094720913,0,1
2,4.603244022455048,0,0,80,399,69.01390381710915,0,1
0,3.9694153963511902,0,0,80,398,79.72468498206153,0,1
2,3.803952340071901,0,0,78,399,80.99081129768918,0,1
1,3.7060990327983045,0,0,80,399,78.2128075448653,0,1
2,4.7151233928074126,0,0,78,399,63.74709980599063,0,1
3,4.163994748666744,0,0,76,399,77.14777401172161,0,1
0,4.8466632994584895,0,0,76,400,75.44144314730084,0,1
3,4.311152596884412,0,0,77,397,71.51754800705588,0,1
3,4.09404131764293,0,0,77,399,82.25259486241488,0,1
2,4.933519828774516,0,0,76,400,79.50791775688414,0,1
2,3.578908701376131,0,0,77,398,79.86208322483695,0,1
2,4.469795642663105,0,0,80,398,81.76577388651806,0,1
3,4.43930368675613,0,0,80,397,75.86127361898977,0,1
3,3.8083937903459892,0,0,80,399,77.26674678312166,0,1
3,3.516793514890522,0,0,76,399,76.23410737391704,0,1
2,4.3495522549439345,0,0,79,397,79.35065603487824,0,1
3,3.500350506591692,0,0,79,399,73.28508977661033,0,1
3,4.695498604662831,0,0,77,398,70.99465191847403,0,1
0,3.9220879045788566,0,0,78,401,71.84456262157904,0,1
0,3.597095520816555,0,0,76,398,74.2625859505963,0,1
3,4.033946779694769,0,0,76,397,72.49589106321292,0,1
0,3.9817413756511364,0,0,79,399,73.93958520927272,0,1
3,4.785332282769011,0,0,76,401,65.12935732010958,0,1
1,3.8078908164368057,0,0,78,400,68.18546930373917,0,1
0,3.5502252063474935,0,0,78,401,88.29864422391893,0,1
0,3.7824385750934924,0,0,80,399,81.0408101861852,0,1
2,4.083197144691189,0,0,78,398,81.40558002480266,0,1
0,4.502923726604701,0,0,77,399,76.9710673191565,0,1
0,4.602143853639789,0,0,78,400,72.64718126199952,0,1
1,4.411636078320551,0,0,78,399,81.83087069249594,0,1
2,4.5704255717650755,0,0,77,398,83.19816372663989,0,1
2,4.197114148512989,0,0,77,401,64.75205898001647,0,1
1,3.4571322629790653,0,0,79,397,81.76954919677256,0,1
0,3.758692663392003,0,0,78,398,73.03623191214955,0,1
10,3.8435350987484838,0,2,83,452,42.284678250397754,0,0
11,3.3778932454480137,0,2,83,454,45.56167241844218,0,0
11,3.2398273118075633,0,2,87,452,45.35245393228243,0,0
9,3.59475195535832,0,2,87,455,56.2631383777151,0,0
7,3.1974674422189553,0,2,85,453,46.23904837558546,0,0
11,3.3161186600280064,0,2,84,455,49.513567940481714,0,0
9,3.127866681392118,0,2,85,455,45.58137362344002,0,0
10,2.9893223541522276,0,2,83,453,46.28393968158372,0,0
11,3.426814596337383,0,2,85,453,48.40013714072653,0,0
10,3.3692990474806486,0,2,85,455,50.747898455126844,0,0
8,3.7715806366581544,0,2,87,454,41.84905089003217,0,0
8,3.6005705730150246,0,2,85,451,52.49391335408488,0,0
10,3.43716315150079,0,2,83,454,48.118165982825566,0,0
9,3.888482306977327,0,2,86,455,53.25961308479539,0,0
10,3.1758752679924522,0,2,83,454,41.99262706239309,0,0
9,3.6585836518493124,0,2,86,455,42.784417086717475,0,0
9,4.24175369098948,0,2,85,453,53.69046473513901,0,0
11,2.9389203787789566,0,2,86,453,48.49283886975094,0,0
11,2.8319525898665443,0,2,85,452,53.82477871876755,0,0
11,3.980150694531289,0,2,85,453,49.37310490475842,0,0
10,3.870261574706085,0,2,86,452,48.125701701438906,0,0
10,3.1287937847901555,0,2,87,454,48.148545557390925,0,0
9,3.7235659194711173,0,2,84,453,45.3400631831683,0,0
10,3.824843038501066,0,2,83,453,49.821309708916345,0,0
7,3.943709987742323,0,2,87,452,45.68571816537429,0,0
8,3.715119531210717,0,2,84,451,50.338591093509635,0,0
11,3.3494504822807047,0,2,87,453,48.02894808458133,0,0
8,3.485797191375454,0,2,87,451,47.92929108905232,0,0
10,3.0612861299926277,0,2,84,454,45.5889829669881,0,0
9,3.8763234095051953,0,2,85,453,53.22768091356539,0,0
7,3.6614438681103922,0,2,84,452,49.685473999496786,0,0
10,3.628479810835057,0,2,87,451,42.880389513673684,0,0
9,3.4132519566528106,0,2,84,452,44.68781689218294,0,0
11,2.6008317036020023,0,2,86,455,41.86676014573094,0,0
7,3.494855718699669,0,2,84,451,51.74246542282093,0,0
11,3.6640817622341335,0,2,85,452,49.25836529049993,0,0
8,4.164621418763444,0,2,86,452,46.653542695031526,0,0
11,3.8312469468660035,0,2,86,455,54.24623184914148,0,0
10,3.749829844419379,0,2,84,452,43.0386438174569,0,0
7,4.025863483561196,0,2,84,453,56.47913906348934,0,0
10,4.045638993530123,3,0,48,374,32.3305653419448,1,1
8,4.0715272713059525,3,0,45,375,27.175212144592027,1,1
8,5.0597996378774726,3,0,44,372,30.705935713527367,1,1
7,4.022152306269568,3,0,48,375,22.94524538199147,1,1
7,3.5512014517175556,3,0,47,376,24.354521855522314,1,1
8,4.188495621555913,3,0,46,373,26.69816459521011,1,1
9,3.910892232523598,3,0,45,373,30.819318759643593,1,1
7,3.736151094488433,3,0,45,373,24.456940045946443,1,1
6,4.383402680612154,3,0,46,372,25.913931105452498,1,1
10,3.8682895737373912,3,0,47,376,27.755930105883895,1,1
6,3.0556584508856797,3,0,44,372,32.17245112227017,1,1
9,4.532722395044678,3,0,47,374,27.33921846985256,1,1
7,4.921831058089723,3,0,45,374,25.49432788727137,1,1
6,4.414295388622769,3,0,45,372,25.002647194930965,1,1
10,3.8771164157915767,3,0,47,373,28.011466739578495,1,1
6,4.6481676953788496,3,0,46,373,28.16478646177466,1,1
8,4.0613405943367775,3,0,48,374,24.820214213256023,1,1
6,3.715078059085711,3,0,44,374,26.84666594197691,1,1
6,4.138366695867557,3,0,44,376,28.998988755406675,1,1
10,4.0321287222075535,3,0,45,376,27.24574535095854,1,1
9,4.863798376436276,3,0,45,375,27.168368844934704,1,1
6,5.115456697664138,3,0,45,373,28.108855271868634,1,1
6,4.369662047291386,3,0,45,372,29.78424080300996,1,1
8,4.4488988248420185,3,0,48,374,26.19284152351941,1,1
10,4.83404853546144,3,0,45,375,24.231462115328853,1,1
7,4.897026165756221,3,0,46,376,25.648850934254998,1,1
10,4.201307645772196,3,0,47,376,27.058620146446877,1,1
6,4.115621851179803,3,0,48,374,28.136494952368487,1,1
8,4.627598482253914,3,0,48,375,29.475629746703557,1,1
6,4.637978661500897,3,0,48,375,28.478562237351717,1,1
6,3.7061184910982274,3,0,45,372,30.039675001703692,1,1
7,3.712915649693938,3,0,47,376,28.339662217716466,1,1
9,4.251332750220751,3,0,47,374,25.152997406260994,1,1
8,4.007803469135561,3,0,48,375,23.28091457046585,1,1
9,3.576503162832134,3,0,47,374,25.23600806479724,1,1
8,4.1964104232425266,3,0,48,372,26.612902936047323,1,1
10,4.10968219866402,3,0,44,375,25.29685443177095,1,1
8,4.306359715175223,3,0,46,375,26.796134363186166,1,1
7,4.140078200421426,3,0,46,373,28.029853282501975,1,1
6,5.036074355104604,3,0,48,372,25.094601521325817,1,1
7,4.028271687707332,3,0,47,373,27.094913156876412,1,1
3,4.597007367519725,2,2,96,695,77.03678824353723,3,1
2,4.996464390913409,2,2,96,694,80.52572242073886,3,1
5,4.9604637147042805,2,2,92,696,72.79306514908352,3,1
4,5.168575521731963,2,2,93,694,80.58590360257396,3,1
5,4.871576243503572,2,2,96,695,58.96416346285597,3,1
5,5.204209449329115,2,2,96,695,87.12128142985202,3,1
4,4.679710641278782,2,2,96,696,82.2966273056177,3,1
1,3.9543544576488077,2,2,93,694,80.14760025563,3,1
3,5.6007522218082695,2,2,93,694,77.17608604139873,3,1
2,5.372312653846541,2,2,96,696,78.94070356379616,3,1
2,4.882576644505613,2,2,94,692,77.58301079386436,3,1
1,4.541356178727451,2,2,96,695,92.59820349237569,3,1
1,4.785877050676637,2,2,94,695,78.83161513947763,3,1
5,4.845511355578513,2,2,96,696,87.84349812838533,3,1
2,5.132173719662557,2,2,94,692,90.0289391533635,3,1
1,5.186838382180229,2,2,93,693,69.88730456029445,3,1
5,4.685407708223069,2,2,95,692,83.83585456068903,3,1
